epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.6887,1.61579,0.22,1,1.57059,7.14e-05,7.14e-05,7.14e-05
2,38.8536,1.38019,0.6,1,1.25876,0.000148456,0.000148456,0.000148456
3,56.059,1.09832,0.82,1,0.85366,0.000223956,0.000223956,0.000223956
4,73.0499,0.77312,0.96,1,0.51607,0.000297902,0.000297902,0.000297902
5,90.2247,0.42717,0.96,1,0.25011,0.000370292,0.000370292,0.000370292
6,107.977,0.29254,0.96,1,0.15351,0.000441127,0.000441127,0.000441127
7,125.84,0.20611,0.98,1,0.08802,0.000510407,0.000510407,0.000510407
8,142.924,0.15025,0.98,1,0.05216,0.000578132,0.000578132,0.000578132
9,160.006,0.14226,0.98,1,0.03502,0.000644302,0.000644302,0.000644302
10,177.076,0.09582,0.98,1,0.03653,0.000650383,0.000650383,0.000650383
11,194.388,0.0744,0.98,1,0.03428,0.000643314,0.000643314,0.000643314
12,212.017,0.06504,0.96,1,0.0645,0.000636245,0.000636245,0.000636245
13,229.919,0.02658,0.98,1,0.02981,0.000629177,0.000629177,0.000629177
14,246.992,0.02934,0.96,1,0.06758,0.000622108,0.000622108,0.000622108
15,263.833,0.03271,0.96,1,0.03523,0.00061504,0.00061504,0.00061504
16,280.86,0.04314,0.96,1,0.06846,0.000607971,0.000607971,0.000607971
17,297.777,0.05027,0.96,1,0.02501,0.000600902,0.000600902,0.000600902
18,314.69,0.03496,1,1,0.01497,0.000593834,0.000593834,0.000593834
19,332.433,0.01773,1,1,0.01028,0.000586765,0.000586765,0.000586765
20,350.23,0.03596,1,1,0.01584,0.000579697,0.000579697,0.000579697
21,367.138,0.0474,1,1,0.01905,0.000572628,0.000572628,0.000572628
22,383.957,0.02495,0.98,1,0.03749,0.000565559,0.000565559,0.000565559
23,400.958,0.0191,0.98,1,0.05501,0.000558491,0.000558491,0.000558491
24,417.967,0.0613,0.98,1,0.06431,0.000551422,0.000551422,0.000551422
25,435.012,0.03184,0.98,1,0.06722,0.000544354,0.000544354,0.000544354
26,452.818,0.04052,0.98,1,0.04338,0.000537285,0.000537285,0.000537285
27,470.518,0.03986,1,1,0.03385,0.000530216,0.000530216,0.000530216
28,487.536,0.02072,1,1,0.01601,0.000523148,0.000523148,0.000523148
29,504.546,0.04969,1,1,0.02076,0.000516079,0.000516079,0.000516079
